asylum_location_code,gender,age_range,population,year
FJI,f,0-4,0,2020
FJI,f,5-11,0,2020
FJI,f,12-17,0,2020
FJI,f,18-59,8,2020
FJI,f,60+,0,2020
FJI,m,0-4,0,2020
FJI,m,5-11,0,2020
FJI,m,12-17,0,2020
FJI,m,18-59,0,2020
FJI,m,60+,0,2020
FRA,f,0-4,0,2020
FRA,f,5-11,0,2020
FRA,f,12-17,0,2020
FRA,f,18-59,0,2020
FRA,f,60+,0,2020
FRA,m,0-4,0,2020
FRA,m,5-11,0,2020
FRA,m,12-17,0,2020
FRA,m,18-59,0,2020
FRA,m,60+,0,2020
FRA,f,0-4,0,2020
FRA,f,5-11,0,2020
FRA,f,12-17,0,2020
FRA,f,18-59,0,2020
FRA,f,60+,0,2020
FRA,m,0-4,0,2020
FRA,m,5-11,0,2020
FRA,m,12-17,0,2020
FRA,m,18-59,0,2020
FRA,m,60+,0,2020
GBR,f,0-4,0,2020
GBR,f,5-11,0,2020
GBR,f,12-17,0,2020
GBR,f,18-59,0,2020
GBR,f,60+,0,2020
GBR,m,0-4,0,2020
GBR,m,5-11,0,2020
GBR,m,12-17,0,2020
GBR,m,18-59,0,2020
GBR,m,60+,0,2020
GBR,f,0-4,0,2020
GBR,f,5-11,0,2020
GBR,f,12-17,0,2020
GBR,f,18-59,0,2020
GBR,f,60+,0,2020
GBR,m,0-4,0,2020
GBR,m,5-11,0,2020
GBR,m,12-17,0,2020
GBR,m,18-59,0,2020
GBR,m,60+,0,2020
GEO,f,0-4,0,2020
GEO,f,5-11,0,2020
GEO,f,12-17,0,2020
GEO,f,18-59,5,2020
GEO,f,60+,0,2020
GEO,m,0-4,0,2020
GEO,m,5-11,6,2020
GEO,m,12-17,0,2020
GEO,m,18-59,7,2020
GEO,m,60+,0,2020
GEO,f,0-4,0,2020
GEO,f,5-11,0,2020
GEO,f,12-17,0,2020
GEO,f,18-59,6,2020
GEO,f,60+,0,2020
GEO,m,0-4,0,2020
GEO,m,5-11,0,2020
GEO,m,12-17,0,2020
