year,origin_location_code,asylum_location_code,population_group,population
2007,AFG,LBN,ASY,18
2007,AFG,LBN,REF,27
2007,AFG,LKA,REF,15
2007,AFG,LTU,REF,113
2007,AFG,MDA,REF,36
2007,AFG,MLT,REF,8
2007,AFG,MYS,ASY,366
2007,AFG,MYS,REF,204
2007,AFG,NLD,REF,17296
2007,AFG,NOR,ASY,646
2007,AFG,NOR,REF,2925
2007,AFG,NZL,ASY,5
2007,AFG,NZL,REF,162
2007,AFG,PAK,ASY,2518
2007,AFG,PAK,REF,3807748
2007,AFG,POL,ASY,5
2007,AFG,POL,REF,76
2007,AFG,PRT,REF,6
2007,AFG,QAT,REF,120
2007,AFG,ROU,REF,274
2007,AFG,RUS,ASY,2072
2007,AFG,RUS,REF,1315
2007,AFG,SAU,ASY,27
2007,AFG,SVK,ASY,7
2007,AFG,SVK,REF,87
2007,AFG,SWE,ASY,624
2007,AFG,SWE,REF,2611
2007,AFG,SYR,ASY,1389
2007,AFG,SYR,REF,678
2007,AFG,THA,REF,15
2007,AFG,TJK,ASY,142
2007,AFG,TJK,REF,1202
2007,AFG,TKM,REF,255
2007,AFG,TUR,ASY,2103
2007,AFG,TUR,REF,636
2007,AFG,UKR,ASY,319
2007,AFG,UKR,REF,2342
2007,AFG,USA,ASY,73
2007,AFG,USA,REF,2365
2007,AFG,UZB,REF,1047
2007,AFG,ZAF,REF,18
2007,IRN,AFG,REF,114
2007,IRQ,AFG,REF,15
2008,AFG,AUS,ASY,28
2008,AFG,AUS,REF,4933
2008,AFG,AUT,ASY,2016
2008,AFG,AUT,REF,5387
2008,AFG,AZE,ASY,62
2008,AFG,AZE,OOC,1407
2008,AFG,AZE,REF,375
2008,AFG,BEL,REF,392
2008,AFG,BGR,ASY,487
2008,AFG,BGR,REF,2012
2008,AFG,BLR,ASY,87
2008,AFG,BLR,REF,1308
2008,AFG,BRA,REF,15
2008,AFG,CAN,ASY,1809
2008,AFG,CAN,REF,3147
2008,AFG,CHE,ASY,1746
2008,AFG,CHE,REF,4017
2008,AFG,CHL,REF,16
2008,AFG,CIV,REF,48
2008,AFG,CYP,ASY,75
2008,AFG,CYP,REF,6
2008,AFG,CZE,ASY,22
2008,AFG,CZE,REF,226
2008,AFG,DEU,ASY,1729
2008,AFG,DEU,OOC,1632
2008,AFG,DEU,REF,25108
2008,AFG,DNK,ASY,82
2008,AFG,DNK,REF,5214
2008,AFG,ECU,ASY,57
2008,AFG,ECU,REF,227
2008,AFG,EGY,REF,84
2008,AFG,ESP,REF,69
2008,AFG,EST,REF,18
2008,AFG,FIN,ASY,213
2008,AFG,FIN,REF,578
2008,AFG,FRA,REF,2690
2008,AFG,GBR,REF,23079
2008,AFG,GEO,REF,15
2008,AFG,GRC,ASY,1522
2008,AFG,GRC,REF,178
2008,AFG,HKG,ASY,18
2008,AFG,HUN,ASY,54
2008,AFG,HUN,REF,2110
2008,AFG,IDN,ASY,408
2008,AFG,IDN,REF,87
2008,AFG,IND,ASY,4983
2008,AFG,IND,REF,25323
2008,AFG,IRL,ASY,122
2008,AFG,IRL,REF,127
2008,AFG,IRN,ASY,4725
2008,AFG,IRN,REF,2806785
2008,AFG,ISL,ASY,15
2008,AFG,ITA,REF,2315
2008,AFG,JPN,ASY,11
2008,AFG,JPN,REF,112
2008,AFG,KAZ,ASY,56
2008,AFG,KAZ,REF,1479
2008,AFG,KGZ,ASY,1275
2008,AFG,KGZ,REF,801
2008,AFG,KWT,ASY,5385
2008,AFG,LBN,ASY,18
2008,AFG,LBN,REF,24
2008,AFG,LKA,ASY,15
2008,AFG,LKA,REF,15
2008,AFG,LTU,REF,97
2008,AFG,LVA,ASY,24
2008,AFG,MDA,REF,30
2008,AFG,MLT,REF,8
